epoch,dataset,atten_masks,train_acc,train_f1_score,train_recall,train_precision,train_loss,test_acc,test_f1_score,test_recall,test_precision,test_loss,train_num,train_tp,train_fp,train_tn,train_fn,test_num,test_tp,test_fp,test_tn,test_fn
28,1,1,84.6931,83.7856,79.0963,89.0661,45143.79866028,88.9530,62.6442,80.0454,51.4577,2763.10975456,121318.0000,47979.0000,5890.0000,54769.0000,12680.0000,7622.0000,706.0000,666.0000,6074.0000,176.0000
29,1,1,84.6882,83.8385,79.4309,88.7640,45028.23242188,88.7038,62.3195,80.7256,50.7484,2893.77345467,121318.0000,48182.0000,6099.0000,54560.0000,12477.0000,7622.0000,712.0000,691.0000,6049.0000,170.0000
30,1,1,84.7574,83.7713,78.6808,89.5659,44641.76760864,89.6484,64.0547,79.7052,53.5415,2691.38089371,121318.0000,47727.0000,5560.0000,55099.0000,12932.0000,7622.0000,703.0000,610.0000,6130.0000,179.0000
31,1,1,84.7599,83.8435,79.0880,89.2075,44490.41404724,89.2941,63.5389,80.6122,52.4336,2799.43155670,121318.0000,47974.0000,5804.0000,54855.0000,12685.0000,7622.0000,711.0000,645.0000,6095.0000,171.0000
32,1,1,84.8275,83.8763,78.9281,89.4864,44228.76171875,89.4909,63.8375,80.1587,53.0383,2772.03004265,121318.0000,47877.0000,5625.0000,55034.0000,12782.0000,7622.0000,707.0000,626.0000,6114.0000,175.0000
33,1,1,84.8036,83.8428,78.8572,89.5014,44123.53836060,89.4909,63.8375,80.1587,53.0383,2771.90989685,121318.0000,47834.0000,5611.0000,55048.0000,12825.0000,7622.0000,707.0000,626.0000,6114.0000,175.0000
34,1,1,84.7582,83.8714,79.2595,89.0531,44163.16664124,89.1498,63.2608,80.7256,52.0088,2870.70224762,121318.0000,48078.0000,5910.0000,54749.0000,12581.0000,7622.0000,712.0000,657.0000,6083.0000,170.0000
35,1,1,84.9247,83.8828,78.4599,90.1110,43695.63269043,90.1601,65.2456,79.8186,55.1724,2644.21477127,121318.0000,47593.0000,5223.0000,55436.0000,13066.0000,7622.0000,704.0000,572.0000,6168.0000,178.0000
36,1,1,84.9833,84.0143,78.9215,89.8096,43614.24896240,89.9108,64.7086,79.9320,54.3562,2741.50671577,121318.0000,47873.0000,5432.0000,55227.0000,12786.0000,7622.0000,705.0000,592.0000,6148.0000,177.0000
37,1,1,85.0096,84.0448,78.9627,89.8262,43492.27635193,89.9764,64.8897,80.0454,54.5595,2760.99638939,121318.0000,47898.0000,5425.0000,55234.0000,12761.0000,7622.0000,706.0000,588.0000,6152.0000,176.0000
